akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ඣ්‍ය්,U+0DA3 U+0DCA U+200D U+0DBA U+0DCA,L8_zwj_conj_dv,33-240,2,True,False,False,False,ඣ,hal@TOP,ය,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA SIGN AL-LAKUNA,jha-y,0,False
ඤ්‍රා,U+0DA4 U+0DCA U+200D U+0DBB U+0DCF,L8_zwj_conj_dv,143-66,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN AELA-PILLA,ña-rā,0,False
ඤ්‍රැ,U+0DA4 U+0DCA U+200D U+0DBB U+0DD0,L8_zwj_conj_dv,143-67,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN KETTI AEDA-PILLA@RIGHT,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI AEDA-PILLA,ña-ræ,0,False
ඤ්‍රෑ,U+0DA4 U+0DCA U+200D U+0DBB U+0DD1,L8_zwj_conj_dv,143-68,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN DIGA AEDA-PILLA@RIGHT,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA AEDA-PILLA,ña-rǣ,0,False
ඤ්‍රි,U+0DA4 U+0DCA U+200D U+0DBB U+0DD2,L8_zwj_conj_dv,259,1,True,True,True,True,ඤ,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,ña-ri,0,False
ඤ්‍රී,U+0DA4 U+0DCA U+200D U+0DBB U+0DD3,L8_zwj_conj_dv,321,1,True,True,True,True,ඤ,SINHALA VOWEL SIGN DIGA IS-PILLA@ABOVE,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA IS-PILLA,ña-rī,0,False
ඤ්‍රු,U+0DA4 U+0DCA U+200D U+0DBB U+0DD4,L8_zwj_conj_dv,143-131,2,True,False,False,False,ඤ,u_下垂(u)@BELOW,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI PAA-PILLA,ña-ru,0,False
ඤ්‍රූ,U+0DA4 U+0DCA U+200D U+0DBB U+0DD6,L8_zwj_conj_dv,143-132,2,True,False,False,False,ඤ,u_下垂(ū)@BELOW,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,ña-rū,0,False
ඤ්‍රෘ,U+0DA4 U+0DCA U+200D U+0DBB U+0DD8,L8_zwj_conj_dv,143-73,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,ña-ra+U+0DD8,0,False
ඤ්‍රෙ,U+0DA4 U+0DCA U+200D U+0DBB U+0DD9,L8_zwj_conj_dv,74-143,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN KOMBUVA@PRE,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA,ña-re,0,False
ඤ්‍රේ,U+0DA4 U+0DCA U+200D U+0DBB U+0DDA,L8_zwj_conj_dv,74-241,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,ña-rē,0,False
ඤ්‍රෛ,U+0DA4 U+0DCA U+200D U+0DBB U+0DDB,L8_zwj_conj_dv,76-143,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN KOMBU DEKA@POST,ර,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBU DEKA,ña-ra+U+0DDB,0,False
