akshara,codepoints,freq
"ටේ","U+0DA7 U+0DDA",6359
"බ්","U+0DB6 U+0DCA",6320
"ණ්ඩු","U+0DAB U+0DCA U+0DA9 U+0DD4",6268
"න්ත්‍ර","U+0DB1 U+0DCA U+0DAD U+0DCA U+200D U+0DBB",6267
"ම්ම","U+0DB8 U+0DCA U+0DB8",6250
"ධී","U+0DB0 U+0DD3",6234
"ද්‍ය","U+0DAF U+0DCA U+200D U+0DBA",6229
"ත්ත්ව","U+0DAD U+0DCA U+0DAD U+0DCA U+0DC0",6147
"ම්ප්‍ර","U+0DB8 U+0DCA U+0DB4 U+0DCA U+200D U+0DBB",6137
"ජේ","U+0DA2 U+0DDA",6107
"යූ","U+0DBA U+0DD6",6099
"ත්‍රි","U+0DAD U+0DCA U+200D U+0DBB U+0DD2",6037
"න්වී","U+0DB1 U+0DCA U+0DC0 U+0DD3",5990
"ථා","U+0DAE U+0DCF",5962
"ත්ස","U+0DAD U+0DCA U+0DC3",5942
"න්ද්‍ර","U+0DB1 U+0DCA U+0DAF U+0DCA U+200D U+0DBB",5932
"ශු","U+0DC1 U+0DD4",5907
"ප්‍රං","U+0DB4 U+0DCA U+200D U+0DBB U+0D82",5901
"වෝ","U+0DC0 U+0DDD",5885
"කූ","U+0D9A U+0DD6",5806
"ත්ප","U+0DAD U+0DCA U+0DB4",5770
"නූ","U+0DB1 U+0DD6",5725
"ර්ලි","U+0DBB U+0DCA U+0DBD U+0DD2",5684
"ද්ධි","U+0DAF U+0DCA U+0DB0 U+0DD2",5660
"ක්වී","U+0D9A U+0DCA U+0DC0 U+0DD3",5588
"ග්‍රා","U+0D9C U+0DCA U+200D U+0DBB U+0DCF",5567
"ත්න","U+0DAD U+0DCA U+0DB1",5553
"ටෝ","U+0DA7 U+0DDD",5534
"ස්ට්","U+0DC3 U+0DCA U+0DA7 U+0DCA",5500
"ත්වි","U+0DAD U+0DCA U+0DC0 U+0DD2",5479
"න්හි","U+0DB1 U+0DCA U+0DC4 U+0DD2",5467
"ක්න","U+0D9A U+0DCA U+0DB1",5396
"ස්ත්‍රි","U+0DC3 U+0DCA U+0DAD U+0DCA U+200D U+0DBB U+0DD2",5392
"ක්ත","U+0D9A U+0DCA U+0DAD",5381
"ෆි","U+0DC6 U+0DD2",5348
"ත්තු","U+0DAD U+0DCA U+0DAD U+0DD4",5345
"ළෙ","U+0DC5 U+0DD9",5339
"හී","U+0DC4 U+0DD3",5312
"ෆ්","U+0DC6 U+0DCA",5263
"ඥා","U+0DA5 U+0DCF",5217
"ර්යා","U+0DBB U+0DCA U+0DBA U+0DCF",5215
"චී","U+0DA0 U+0DD3",5191
"න්ඩ","U+0DB1 U+0DCA U+0DA9",5069
"ඩෙ","U+0DA9 U+0DD9",5000
"ත්වී","U+0DAD U+0DCA U+0DC0 U+0DD3",4979
"යී","U+0DBA U+0DD3",4978
"ණේ","U+0DAB U+0DDA",4959
"වො","U+0DC0 U+0DDC",4949
"මං","U+0DB8 U+0D82",4901
"න්ස්","U+0DB1 U+0DCA U+0DC3 U+0DCA",4881
"ලිං","U+0DBD U+0DD2 U+0D82",4850
"ම්පූ","U+0DB8 U+0DCA U+0DB4 U+0DD6",4835
"න්ඩ්","U+0DB1 U+0DCA U+0DA9 U+0DCA",4825
"ල්ව","U+0DBD U+0DCA U+0DC0",4803
"ර්තු","U+0DBB U+0DCA U+0DAD U+0DD4",4799
"ද්දේ","U+0DAF U+0DCA U+0DAF U+0DDA",4783
"ශ්‍රේ","U+0DC1 U+0DCA U+200D U+0DBB U+0DDA",4763
"ත්ක","U+0DAD U+0DCA U+0D9A",4711
"ඩී","U+0DA9 U+0DD3",4664
"නෑ","U+0DB1 U+0DD1",4648
"දො","U+0DAF U+0DDC",4581
"ද්ද","U+0DAF U+0DCA U+0DAF",4489
"ථි","U+0DAE U+0DD2",4471
"සෞ","U+0DC3 U+0DDE",4458
"න්සි","U+0DB1 U+0DCA U+0DC3 U+0DD2",4449
"දිං","U+0DAF U+0DD2 U+0D82",4393
"ඩං","U+0DA9 U+0D82",4349
"ඛා","U+0D9B U+0DCF",4341
"ස්ථ","U+0DC3 U+0DCA U+0DAE",4286
"ල්ලි","U+0DBD U+0DCA U+0DBD U+0DD2",4283
"ත්වා","U+0DAD U+0DCA U+0DC0 U+0DCF",4264
"ට්‍ය","U+0DA7 U+0DCA U+200D U+0DBA",4262
"ජෙ","U+0DA2 U+0DD9",4220
"ඟා","U+0D9F U+0DCF",4191
"ෂ්ඨ","U+0DC2 U+0DCA U+0DA8",4180
"ත්සා","U+0DAD U+0DCA U+0DC3 U+0DCF",4170
"ෆ","U+0DC6",4169
"ස්ට","U+0DC3 U+0DCA U+0DA7",4150
"ම්ක","U+0DB8 U+0DCA U+0D9A",4137
"න්වෙ","U+0DB1 U+0DCA U+0DC0 U+0DD9",4115
"ප්තැ","U+0DB4 U+0DCA U+0DAD U+0DD0",4114
"න්නෙ","U+0DB1 U+0DCA U+0DB1 U+0DD9",4114
"ක්ස්","U+0D9A U+0DCA U+0DC3 U+0DCA",4101
"ප්ති","U+0DB4 U+0DCA U+0DAD U+0DD2",4092
"බෞ","U+0DB6 U+0DDE",4086
"ඳී","U+0DB3 U+0DD3",4074
"ර්මි","U+0DBB U+0DCA U+0DB8 U+0DD2",4038
"තෘ","U+0DAD U+0DD8",4031
"ස්ම","U+0DC3 U+0DCA U+0DB8",4029
"බ්‍ර","U+0DB6 U+0DCA U+200D U+0DBB",4029
"ටො","U+0DA7 U+0DDC",4012
"ල්‍ය","U+0DBD U+0DCA U+200D U+0DBA",4003
"ප්ත","U+0DB4 U+0DCA U+0DAD",3974
"ට්ඨා","U+0DA7 U+0DCA U+0DA8 U+0DCF",3970
"න්ට්","U+0DB1 U+0DCA U+0DA7 U+0DCA",3960
"ඝා","U+0D9D U+0DCF",3952
"ඩෝ","U+0DA9 U+0DDD",3882
"ක්‍ෂ","U+0D9A U+0DCA U+200D U+0DC2",3864
"ග්","U+0D9C U+0DCA",3851
"ත්‍යා","U+0DAD U+0DCA U+200D U+0DBA U+0DCF",3845
"ර්යේ","U+0DBB U+0DCA U+0DBA U+0DDA",3834
"භේ","U+0DB7 U+0DDA",3823
"ක්වි","U+0D9A U+0DCA U+0DC0 U+0DD2",3775
"ස්සේ","U+0DC3 U+0DCA U+0DC3 U+0DDA",3774
"න්ප","U+0DB1 U+0DCA U+0DB4",3755
"ක්තෝ","U+0D9A U+0DCA U+0DAD U+0DDD",3721
"ප්ර","U+0DB4 U+0DCA U+0DBB",3696
"භ්‍ය","U+0DB7 U+0DCA U+200D U+0DBA",3681
"ප‍්‍ර","U+0DB4 U+200D U+0DCA U+200D U+0DBB",3681
"ස්ට්‍රේ","U+0DC3 U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DDA",3672
"ලාං","U+0DBD U+0DCF U+0D82",3635
"ද්වි","U+0DAF U+0DCA U+0DC0 U+0DD2",3606
"ඳා","U+0DB3 U+0DCF",3571
"ඩේ","U+0DA9 U+0DDA",3571
"න්වේ","U+0DB1 U+0DCA U+0DC0 U+0DDA",3565
"පෞ","U+0DB4 U+0DDE",3553
"ත්තා","U+0DAD U+0DCA U+0DAD U+0DCF",3547
"යං","U+0DBA U+0D82",3518
"ගං","U+0D9C U+0D82",3494
"ස්පා","U+0DC3 U+0DCA U+0DB4 U+0DCF",3491
"ර්ජ","U+0DBB U+0DCA U+0DA2",3482
"න්ස","U+0DB1 U+0DCA U+0DC3",3465
"බෑ","U+0DB6 U+0DD1",3446
"ෂ්‍ය","U+0DC2 U+0DCA U+200D U+0DBA",3426
"දෝ","U+0DAF U+0DDD",3417
"න්නි","U+0DB1 U+0DCA U+0DB1 U+0DD2",3399
"ඤ්ඤ","U+0DA4 U+0DCA U+0DA4",3388
"න්දේ","U+0DB1 U+0DCA U+0DAF U+0DDA",3377
"ඨ","U+0DA8",3366
"මෘ","U+0DB8 U+0DD8",3339
"ක්සි","U+0D9A U+0DCA U+0DC3 U+0DD2",3335
"ඈ","U+0D88",3332
"චෝ","U+0DA0 U+0DDD",3319
"ලූ","U+0DBD U+0DD6",3313
"ස්ති","U+0DC3 U+0DCA U+0DAD U+0DD2",3298
"ඓ","U+0D93",3258
"ච්ඡා","U+0DA0 U+0DCA U+0DA1 U+0DCF",3246
"ගෘ","U+0D9C U+0DD8",3246
"ක්ද","U+0D9A U+0DCA U+0DAF",3228
"ස්ලා","U+0DC3 U+0DCA U+0DBD U+0DCF",3197
"ත්‍රා","U+0DAD U+0DCA U+200D U+0DBB U+0DCF",3191
"ස්ලි","U+0DC3 U+0DCA U+0DBD U+0DD2",3189
"ශෝ","U+0DC1 U+0DDD",3188
"න්‍යා","U+0DB1 U+0DCA U+200D U+0DBA U+0DCF",3180
"ඛ්‍ය","U+0D9B U+0DCA U+200D U+0DBA",3175
"ර්ති","U+0DBB U+0DCA U+0DAD U+0DD2",3142
"ල්පි","U+0DBD U+0DCA U+0DB4 U+0DD2",3140
"න්ථ","U+0DB1 U+0DCA U+0DAE",3140
"ල්ස්","U+0DBD U+0DCA U+0DC3 U+0DCA",3135
"ස්තා","U+0DC3 U+0DCA U+0DAD U+0DCF",3124
"ස්ථි","U+0DC3 U+0DCA U+0DAE U+0DD2",3122
"ව්ව","U+0DC0 U+0DCA U+0DC0",3120
"භෞ","U+0DB7 U+0DDE",3102
"දෘ","U+0DAF U+0DD8",3098
"ර්ගි","U+0DBB U+0DCA U+0D9C U+0DD2",3094
"ල්වා","U+0DBD U+0DCA U+0DC0 U+0DCF",3093
"ච්","U+0DA0 U+0DCA",3089
"ම්බි","U+0DB8 U+0DCA U+0DB6 U+0DD2",3083
"ෆෙ","U+0DC6 U+0DD9",3079
"ස්වී","U+0DC3 U+0DCA U+0DC0 U+0DD3",3051
"ගෞ","U+0D9C U+0DDE",3011
"න්ටි","U+0DB1 U+0DCA U+0DA7 U+0DD2",3006
"දෑ","U+0DAF U+0DD1",2909
"මෑ","U+0DB8 U+0DD1",2883
"ණෙ","U+0DAB U+0DD9",2870
"ල්ලේ","U+0DBD U+0DCA U+0DBD U+0DDA",2864
"ව්‍යු","U+0DC0 U+0DCA U+200D U+0DBA U+0DD4",2861
"ෂ්ණ","U+0DC2 U+0DCA U+0DAB",2854
"සෘ","U+0DC3 U+0DD8",2835
"ර්ස්","U+0DBB U+0DCA U+0DC3 U+0DCA",2812
"ම්පා","U+0DB8 U+0DCA U+0DB4 U+0DCF",2805
"ම්බා","U+0DB8 U+0DCA U+0DB6 U+0DCF",2794
"ර්ල","U+0DBB U+0DCA U+0DBD",2777
"භෝ","U+0DB7 U+0DDD",2773
"ධු","U+0DB0 U+0DD4",2766
"න්ය","U+0DB1 U+0DCA U+0DBA",2760
"ෂ්","U+0DC2 U+0DCA",2752
"පං","U+0DB4 U+0D82",2751
"ම්පි","U+0DB8 U+0DCA U+0DB4 U+0DD2",2750
"ඟු","U+0D9F U+0DD4",2727
"න්ඩි","U+0DB1 U+0DCA U+0DA9 U+0DD2",2692
"ත්හ","U+0DAD U+0DCA U+0DC4",2690
